model,resolution,params,flops_traced,flops_analytic,flops_total,flops_uncounted_ops,flops_unexpected_ops,latency_ms,latency_min_ms,latency_max_ms,latency_repeats_ms,peak_allocated_bytes,peak_reserved_bytes,max_batch,images_per_sec,status,error
deit_s,224,22050664,4608338304,0,4608338304,aten::add;aten::gelu;aten::mul;aten::softmax,,3.1603519916534424,2.9189120531082153,3.212415933609009,3.2124;2.9189;3.1604,101877248,117440512,512.0,1038.0481274511012,ok,
deit_s,384,22196584,15518047104,0,15518047104,aten::add;aten::gelu;aten::mul;aten::softmax,,5.456383943557739,5.4301440715789795,5.712383985519409,5.4301;5.4564;5.7124,110366208,121634816,409.0,281.99362197512414,ok,
deit_s,512,22368616,31798639488,0,31798639488,aten::add;aten::gelu;aten::mul;aten::softmax,,10.953728199005127,10.928639888763428,11.205632209777832,11.2056;10.9286;10.9537,121192448,136314880,223.0,129.9695836612812,ok,
deit_s,768,22860136,98698935168,0,98698935168,aten::add;aten::gelu;aten::mul;aten::softmax,,31.315967559814453,31.270400047302246,31.40595245361328,31.3160;31.2704;31.4060,151215616,178257920,102.0,36.88890912683561,ok,
deit_s,1024,23548264,243093650304,0,243093650304,aten::add;aten::gelu;aten::mul;aten::softmax,,78.88627243041992,78.04057312011719,79.98092651367188,78.8863;79.9809;78.0406,191467008,245366784,55.0,13.873796071375367,ok,
cmt_s,224,26256160,4086553472,0,4086553472,aten::add;aten::gelu;aten::mul;aten::softmax;prim::PythonOp.SwishImplementation,,18.743264198303223,18.525263786315918,19.876352310180664,18.7433;19.8764;18.5253,255787520,276824064,383.0,456.5866765990724,ok,
cmt_s,384,28456360,13001572352,0,13001572352,aten::add;aten::gelu;aten::mul;aten::softmax;prim::PythonOp.SwishImplementation,,20.028719902038574,20.014448165893555,20.18297576904297,20.0287;20.0144;20.1830,278414848,316669952,128.0,133.7535927645239,ok,
cmt_s,512,33832360,25197479936,0,25197479936,aten::add;aten::gelu;aten::mul;aten::softmax;prim::PythonOp.SwishImplementation,,21.458672523498535,21.33401584625244,21.532784461975098,21.3340;21.5328;21.4587,315766272,1348468736,,,ok,"throughput OOM: CUDA out of memory. Tried to allocate 1.14 GiB. GPU 0 has a total capacty of 8.00 GiB of which 991.95 MiB is free. Of the allocated memory 3.49 GiB is allocated by PyTorch, and 2.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting max_split_size_mb to avoid fragmentation.  See documentation for Memory Management and PYTORCH_CUDA_ALLOC_CONF"
cmt_s,768,65781160,70093531136,0,70093531136,aten::add;aten::gelu;aten::mul;aten::softmax;prim::PythonOp.SwishImplementation,,45.67142295837402,45.64470291137695,45.79015922546387,45.6447;45.6714;45.7902,489436672,673185792,26.0,22.7783102392762,ok,
cmt_s,1024,151797160,157962831872,0,157962831872,aten::add;aten::gelu;aten::mul;aten::softmax;prim::PythonOp.SwishImplementation,,101.73491287231445,101.64831924438477,102.21763229370117,102.2176;101.6483;101.7349,1234056704,1354760192,,,ok,"throughput OOM: CUDA out of memory. Tried to allocate 2.25 GiB. GPU 0 has a total capacty of 8.00 GiB of which 621.20 MiB is free. Of the allocated memory 3.50 GiB is allocated by PyTorch, and 2.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting max_split_size_mb to avoid fragmentation.  See documentation for Memory Management and PYTORCH_CUDA_ALLOC_CONF"
vim_s,224,25796584,4241218560,1539588096,5780806656,aten::add;aten::div;aten::exp;aten::flip;aten::mean;aten::mul;aten::mul_;aten::neg;aten::pow;aten::rsqrt,,18.134016036987305,18.052639961242676,18.51763153076172,18.0526;18.1340;18.5176,121725952,354418688,512.0,373.6297776011988,ok,
vim_s,384,25942504,12422077440,4509351936,16931429376,aten::add;aten::div;aten::exp;aten::flip;aten::mean;aten::mul;aten::mul_;aten::neg;aten::pow;aten::rsqrt,,18.40777587890625,18.29086399078369,18.719679832458496,18.4078;18.2909;18.7197,138867712,148897792,256.0,100.31409021509354,ok,
vim_s,512,26114536,22066879488,8010547200,30077426688,aten::add;aten::div;aten::exp;aten::flip;aten::mean;aten::mul;aten::mul_;aten::neg;aten::pow;aten::rsqrt,,19.469311714172363,19.45907211303711,19.730432510375977,19.7304;19.4591;19.4693,157014016,163577856,,,ok,"throughput OOM: CUDA out of memory. Tried to allocate 410.00 MiB. GPU 0 has a total capacty of 8.00 GiB of which 382.14 MiB is free. Of the allocated memory 4.74 GiB is allocated by PyTorch, and 1.65 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting max_split_size_mb to avoid fragmentation.  See documentation for Memory Management and PYTORCH_CUDA_ALLOC_CONF"
vim_s,768,26606056,49623456768,18013962240,67637419008,aten::add;aten::div;aten::exp;aten::flip;aten::mean;aten::mul;aten::mul_;aten::neg;aten::pow;aten::rsqrt,,37.69139289855957,37.633535385131836,37.740943908691406,37.6335;37.6914;37.7409,209103360,241172480,64.0,25.732271657759014,ok,
vim_s,1024,27294184,88202664960,32018743296,120221408256,aten::add;aten::div;aten::exp;aten::flip;aten::mean;aten::mul;aten::mul_;aten::neg;aten::pow;aten::rsqrt,,59.49081611633301,59.48057556152344,60.251136779785156,60.2511;59.4908;59.4806,279963648,585105408,32.0,17.676421398434556,ok,
