image,instance_id,area_px,area_fraction,area_bin,k,void_px,population_n,random_baseline,bbox_top,bbox_left,bbox_bottom,bbox_right,aspect_ratio,aspect_class,queryable_grid7,queryable_grid14,measurable_by_all,model,condition,query_row,query_col,precision_at_k,mass_fraction,status,error
2007_000032,1,2609,0.05199697066326531,5-10%,2609,2802,47374,0.055072402583695695,84,0,145,210,3.403225806451613,wide,True,True,True,deit_s,pretrained,6,6,0.32809505557684937,0.1933267322360775,ok,
2007_000061,1,3525,0.07025271045918367,5-10%,3525,2016,48160,0.07319352159468438,9,130,183,223,0.5371428571428571,tall,True,True,True,deit_s,pretrained,9,11,0.22893617021276597,0.23112185731520116,ok,
2007_000063,2,28004,0.5581154336734694,>=40%,28004,3202,46974,0.5961595776386938,0,9,223,215,0.9241071428571429,square,True,True,True,deit_s,pretrained,9,5,0.599021568347379,0.6069012848657667,ok,
2007_000241,1,570,0.01136001275510204,<2%,570,1436,48740,0.011694706606483382,127,178,158,223,1.4375,square,True,True,True,deit_s,pretrained,9,12,0.36140350877192984,0.08666088069107811,ok,
2007_000241,3,975,0.01943160076530612,<2%,975,1436,48740,0.020004103405826836,85,113,124,163,1.275,square,True,True,True,deit_s,pretrained,7,8,0.41435897435897434,0.153401886185885,ok,
2007_000243,1,935,0.0186344068877551,<2%,935,637,49539,0.018874018450110015,85,64,127,124,1.4186046511627908,square,True,True,True,deit_s,pretrained,6,6,0.32941176470588235,0.1139027683715579,ok,
2007_000256,1,6317,0.1258968431122449,10-20%,6317,2287,47889,0.131909206707177,64,0,147,223,2.6666666666666665,wide,True,True,True,deit_s,pretrained,7,4,0.2327053981320247,0.2464703665243792,ok,
2007_000346,1,5229,0.10421316964285714,10-20%,5229,2345,47831,0.10932240597102298,65,39,202,96,0.42028985507246375,tall,True,True,True,deit_s,pretrained,9,4,0.3949129852744311,0.3239720961707105,ok,
2007_000346,2,16704,0.33290816326530615,20-40%,16704,2345,47831,0.3492295791432335,50,74,223,223,0.8620689655172413,square,True,True,True,deit_s,pretrained,8,9,0.453963122605364,0.5229487998945742,ok,
2007_000720,1,3384,0.06744260204081633,5-10%,3384,1079,49097,0.06892478155488116,80,91,176,147,0.5876288659793815,tall,True,True,True,deit_s,pretrained,7,7,0.4027777777777778,0.3118541141214144,ok,
2007_000727,1,4702,0.09371014030612244,5-10%,4702,2481,47695,0.09858475731208723,156,53,216,161,1.7868852459016393,wide,True,True,True,deit_s,pretrained,11,6,0.39749042960442366,0.35054712512388053,ok,
2007_000733,2,9467,0.18867586096938777,10-20%,9467,2795,47381,0.19980582934087504,104,52,223,223,1.4333333333333333,square,True,True,True,deit_s,pretrained,11,8,0.5665997676138164,0.5238984644998275,ok,
2007_000768,1,4628,0.09223533163265306,5-10%,4628,1407,48769,0.09489634808997519,63,178,170,223,0.42592592592592593,tall,True,True,True,deit_s,pretrained,7,12,0.2731201382886776,0.2515005919477871,ok,
2007_000799,2,6764,0.13480548469387754,10-20%,6764,2034,48142,0.14050101782227578,116,105,223,223,1.1018518518518519,square,True,True,True,deit_s,pretrained,11,11,0.4432288586635127,0.39971965416108507,ok,
2007_000876,1,21966,0.43777901785714285,>=40%,21966,2749,47427,0.46315389967739895,21,30,220,191,0.81,square,True,True,True,deit_s,pretrained,8,6,0.6296549212419194,0.689396436110025,ok,
2007_001073,1,1050,0.020926339285714284,2-5%,1050,3319,46857,0.022408604904283244,106,0,145,48,1.225,square,True,True,True,deit_s,pretrained,7,1,0.6171428571428571,0.3391172890257221,ok,
