image,instance_id,area_px,area_fraction,area_bin,k,void_px,population_n,random_baseline,bbox_top,bbox_left,bbox_bottom,bbox_right,aspect_ratio,aspect_class,queryable_grid7,queryable_grid14,measurable_by_all
2007_000032,1,2609,0.05199697066326531,5-10%,2609,2802,47374,0.055072402583695695,84,0,145,210,3.403225806451613,wide,True,True,True
2007_000061,1,3525,0.07025271045918367,5-10%,3525,2016,48160,0.07319352159468438,9,130,183,223,0.5371428571428571,tall,True,True,True
2007_000063,2,28004,0.5581154336734694,>=40%,28004,3202,46974,0.5961595776386938,0,9,223,215,0.9241071428571429,square,True,True,True
2007_000241,1,570,0.01136001275510204,<2%,570,1436,48740,0.011694706606483382,127,178,158,223,1.4375,square,True,True,True
2007_000241,3,975,0.01943160076530612,<2%,975,1436,48740,0.020004103405826836,85,113,124,163,1.275,square,True,True,True
2007_000243,1,935,0.0186344068877551,<2%,935,637,49539,0.018874018450110015,85,64,127,124,1.4186046511627908,square,True,True,True
2007_000256,1,6317,0.1258968431122449,10-20%,6317,2287,47889,0.131909206707177,64,0,147,223,2.6666666666666665,wide,True,True,True
2007_000346,1,5229,0.10421316964285714,10-20%,5229,2345,47831,0.10932240597102298,65,39,202,96,0.42028985507246375,tall,True,True,True
2007_000346,2,16704,0.33290816326530615,20-40%,16704,2345,47831,0.3492295791432335,50,74,223,223,0.8620689655172413,square,True,True,True
2007_000720,1,3384,0.06744260204081633,5-10%,3384,1079,49097,0.06892478155488116,80,91,176,147,0.5876288659793815,tall,True,True,True
2007_000727,1,4702,0.09371014030612244,5-10%,4702,2481,47695,0.09858475731208723,156,53,216,161,1.7868852459016393,wide,True,True,True
2007_000733,2,9467,0.18867586096938777,10-20%,9467,2795,47381,0.19980582934087504,104,52,223,223,1.4333333333333333,square,True,True,True
2007_000768,1,4628,0.09223533163265306,5-10%,4628,1407,48769,0.09489634808997519,63,178,170,223,0.42592592592592593,tall,True,True,True
2007_000799,2,6764,0.13480548469387754,10-20%,6764,2034,48142,0.14050101782227578,116,105,223,223,1.1018518518518519,square,True,True,True
2007_000876,1,21966,0.43777901785714285,>=40%,21966,2749,47427,0.46315389967739895,21,30,220,191,0.81,square,True,True,True
2007_001073,1,1050,0.020926339285714284,2-5%,1050,3319,46857,0.022408604904283244,106,0,145,48,1.225,square,True,True,True
2007_001239,2,5715,0.11389907525510204,10-20%,5715,3195,46981,0.1216449202869245,83,100,223,187,0.624113475177305,tall,True,True,True
2007_001299,3,2434,0.048509247448979595,2-5%,2434,3838,46338,0.05252708360309034,97,167,204,210,0.4074074074074074,tall,True,True,True
2007_001311,4,2302,0.04587850765306122,2-5%,2302,5807,44369,0.05188307151389484,134,60,223,148,0.9888888888888889,square,True,True,True
2007_001340,3,3959,0.07890226403061225,5-10%,3959,3801,46375,0.08536927223719677,85,62,222,113,0.37681159420289856,tall,True,True,True
2007_001408,6,763,0.015206473214285714,<2%,763,2986,47190,0.01616867980504344,0,87,30,121,1.1290322580645162,square,True,True,True
2007_001430,2,3188,0.06353635204081633,5-10%,3188,3238,46938,0.0679193830158933,93,26,177,98,0.8588235294117647,square,True,True,True
2007_001430,4,7230,0.14409279336734693,10-20%,7230,3238,46938,0.15403297967531637,92,111,223,205,0.7196969696969697,square,True,True,True
2007_001430,6,2100,0.04185267857142857,2-5%,2100,3238,46938,0.04473986961523712,0,153,47,208,1.1666666666666667,square,True,True,True
2007_001458,1,16567,0.33017777423469385,20-40%,16567,1605,48571,0.34108830372032695,84,17,200,204,1.606837606837607,wide,True,True,True
2007_001594,1,835,0.016641422193877552,<2%,835,2767,47409,0.017612689573709633,102,127,137,165,1.0833333333333333,square,True,True,True
2007_001595,1,6939,0.13829320790816327,10-20%,6939,1274,48902,0.14189603697190298,97,123,178,223,1.2317073170731707,square,True,True,True
2007_001717,2,4077,0.08125398596938775,5-10%,4077,2931,47245,0.08629484601545137,88,178,223,223,0.3382352941176471,tall,True,True,True
2007_001763,3,14795,0.2948620854591837,20-40%,14795,2209,47967,0.3084412200054204,26,0,223,223,1.1313131313131313,square,True,True,True
2007_001857,1,38087,0.7590680803571429,>=40%,38087,1568,48608,0.7835541474654378,7,0,223,223,1.032258064516129,square,True,True,True
2007_001857,3,2768,0.055165816326530615,5-10%,2768,1568,48608,0.056945358788676764,0,157,72,210,0.7397260273972602,square,True,True,True
2007_001857,5,1631,0.032505580357142856,2-5%,1631,1568,48608,0.033554147465437785,0,63,59,103,0.6833333333333333,square,True,True,True
2007_001884,3,977,0.019471460459183673,<2%,977,1933,48243,0.020251642725369483,128,148,144,208,3.588235294117647,wide,True,True,True
2007_001901,4,1489,0.029675542091836735,2-5%,1489,3837,46339,0.032132760741492045,126,141,205,183,0.5375,tall,True,True,True
2007_002046,2,15524,0.309390943877551,20-40%,15524,2364,47812,0.32468836275412033,22,0,202,130,0.7237569060773481,square,True,True,True
2007_002055,1,2047,0.04079639668367347,2-5%,2047,2555,47621,0.042985237605258186,150,0,222,51,0.7123287671232876,square,True,True,True
