epoch,train_loss,val_top1,val_top5,lr
0,5.249248,0.033,0.1258,4.167e-05
1,5.163983,0.0556,0.1862,8.333e-05
2,5.085329,0.0703,0.2118,0.000125
3,5.038497,0.0938,0.2632,0.00016667
4,4.990787,0.1051,0.2813,0.00020833
5,4.969499,0.112,0.3026,0.00025
6,4.915726,0.1288,0.3363,0.00024999
7,4.912377,0.1367,0.3396,0.00024997
8,4.900031,0.144,0.3648,0.00024994
9,4.863743,0.1518,0.3681,0.00024989
10,4.848836,0.1647,0.3926,0.00024983
11,4.834061,0.1754,0.3989,0.00024976
12,4.819841,0.1774,0.4136,0.00024967
13,4.790502,0.1916,0.4276,0.00024956
14,4.773362,0.1962,0.4336,0.00024945
15,4.770013,0.2009,0.4465,0.00024932
16,4.725756,0.215,0.4639,0.00024918
17,4.724097,0.2172,0.4734,0.00024902
18,4.668149,0.2356,0.4902,0.00024885
19,4.679487,0.2398,0.4948,0.00024867
20,4.659524,0.2484,0.5032,0.00024847
21,4.650339,0.2519,0.5102,0.00024826
22,4.629659,0.26,0.5224,0.00024804
23,4.6027,0.2683,0.5288,0.0002478
24,4.598078,0.275,0.5353,0.00024755
25,4.591126,0.2719,0.5337,0.00024729
26,4.562299,0.2737,0.5357,0.00024701
27,4.549764,0.2843,0.5472,0.00024672
28,4.518075,0.2988,0.5665,0.00024642
29,4.495544,0.3056,0.5727,0.0002461
30,4.513438,0.3033,0.575,0.00024577
31,4.44215,0.3145,0.5907,0.00024543
32,4.447083,0.3236,0.5966,0.00024507
33,4.424341,0.3264,0.6009,0.0002447
34,4.439599,0.3368,0.6099,0.00024432
35,4.405277,0.3426,0.6193,0.00024393
36,4.444433,0.3451,0.6245,0.00024352
37,4.393072,0.3458,0.6216,0.0002431
38,4.359545,0.347,0.6223,0.00024267
39,4.344589,0.3633,0.6423,0.00024222
40,4.338249,0.3568,0.6373,0.00024176
41,4.351288,0.3569,0.6308,0.00024129
42,4.302643,0.3628,0.6398,0.0002408
43,4.287606,0.3616,0.6442,0.00024031
44,4.265616,0.3696,0.6408,0.0002398
45,4.24704,0.376,0.6593,0.00023928
46,4.251127,0.3764,0.6584,0.00023874
47,4.290546,0.39,0.6665,0.0002382
48,4.273844,0.3959,0.6724,0.00023764
49,4.241948,0.3904,0.665,0.00023707
50,4.239055,0.3982,0.6788,0.00023648
51,4.222945,0.3957,0.6735,0.00023589
52,4.181826,0.392,0.6599,0.00023528
53,4.214809,0.4142,0.6869,0.00023466
54,4.18331,0.4088,0.6857,0.00023403
55,4.147154,0.412,0.6829,0.00023339
56,4.189735,0.4099,0.6841,0.00023273
57,4.15684,0.4194,0.6847,0.00023207
58,4.199428,0.4233,0.691,0.00023139
59,4.130461,0.4251,0.6892,0.0002307
60,4.151518,0.4302,0.6993,0.00023
61,4.149697,0.4313,0.7009,0.00022929
62,4.071905,0.4323,0.7035,0.00022856
63,4.142168,0.4238,0.7041,0.00022783
64,4.091289,0.4412,0.7112,0.00022708
65,4.116545,0.433,0.705,0.00022633
66,4.046909,0.452,0.7119,0.00022556
67,4.039192,0.4484,0.7173,0.00022478
68,4.076278,0.4364,0.7024,0.00022399
69,4.031433,0.4466,0.7108,0.00022319
70,3.989348,0.4525,0.7199,0.00022238
71,4.031186,0.448,0.7178,0.00022156
72,4.039862,0.4517,0.7155,0.00022073
