epoch,train_loss,val_top1,val_top5,lr
0,5.277474,0.0271,0.0955,4.167e-05
1,5.221406,0.0419,0.1412,8.333e-05
2,5.169014,0.0612,0.1846,0.000125
3,5.097869,0.0759,0.2261,0.00016667
4,5.038172,0.1017,0.2812,0.00020833
5,4.995093,0.1186,0.3093,0.00025
6,4.941374,0.1342,0.3343,0.00024999
7,4.901957,0.1485,0.356,0.00024997
8,4.878558,0.1561,0.3765,0.00024994
9,4.849885,0.1696,0.4063,0.00024989
10,4.819551,0.1838,0.4129,0.00024983
11,4.791068,0.1913,0.4279,0.00024976
12,4.793131,0.1966,0.4363,0.00024967
13,4.769188,0.1996,0.4401,0.00024956
14,4.757458,0.21,0.4532,0.00024945
15,4.727792,0.2167,0.4667,0.00024932
16,4.737671,0.2179,0.4746,0.00024918
17,4.712242,0.2309,0.4855,0.00024902
18,4.688662,0.2325,0.4864,0.00024885
19,4.669424,0.2358,0.4891,0.00024867
20,4.659531,0.2438,0.503,0.00024847
21,4.653206,0.2476,0.5115,0.00024826
22,4.65115,0.25,0.5158,0.00024804
23,4.602113,0.2571,0.5212,0.0002478
24,4.618281,0.2575,0.5146,0.00024755
25,4.602839,0.2653,0.5325,0.00024729
26,4.562432,0.2771,0.5392,0.00024701
27,4.570032,0.2772,0.5475,0.00024672
28,4.547529,0.2861,0.5516,0.00024642
29,4.54995,0.2876,0.5566,0.0002461
30,4.56275,0.2958,0.566,0.00024577
31,4.533918,0.2957,0.5618,0.00024543
32,4.504991,0.3057,0.5759,0.00024507
33,4.49001,0.3127,0.581,0.0002447
34,4.469136,0.3183,0.5822,0.00024432
35,4.472917,0.3175,0.5832,0.00024393
36,4.479429,0.3171,0.586,0.00024352
37,4.461628,0.3356,0.5967,0.0002431
38,4.444992,0.3339,0.5976,0.00024267
39,4.425082,0.3361,0.6033,0.00024222
40,4.418707,0.3394,0.6052,0.00024176
41,4.421684,0.3383,0.6027,0.00024129
42,4.408138,0.3412,0.6173,0.0002408
43,4.405202,0.3435,0.6128,0.00024031
44,4.382565,0.3419,0.6079,0.0002398
45,4.350485,0.3563,0.6201,0.00023928
46,4.370546,0.3561,0.6295,0.00023874
47,4.387777,0.3477,0.6232,0.0002382
