epoch,train_loss,val_top1,val_top5,lr
0,5.291095,0.0237,0.0947,4.167e-05
1,5.204724,0.0486,0.1671,8.333e-05
2,5.133158,0.0684,0.2143,0.000125
3,5.066091,0.0914,0.2654,0.00016667
4,5.005192,0.1125,0.3034,0.00020833
5,4.960671,0.1319,0.3371,0.00025
6,4.885687,0.1595,0.3763,0.00024999
7,4.841501,0.1771,0.4135,0.00024997
8,4.797072,0.1905,0.432,0.00024994
9,4.762628,0.2111,0.4548,0.00024989
10,4.712661,0.2231,0.4738,0.00024983
11,4.679409,0.2362,0.4907,0.00024976
12,4.675815,0.2363,0.4923,0.00024967
13,4.640348,0.2478,0.5039,0.00024956
14,4.626405,0.2655,0.5298,0.00024945
15,4.580455,0.2748,0.5394,0.00024932
16,4.584398,0.2842,0.5492,0.00024918
17,4.54746,0.286,0.5583,0.00024902
18,4.519383,0.2904,0.5606,0.00024885
19,4.492905,0.302,0.5732,0.00024867
20,4.4887,0.3067,0.5816,0.00024847
21,4.476682,0.3165,0.5804,0.00024826
22,4.471792,0.3226,0.5969,0.00024804
23,4.39942,0.3252,0.5947,0.0002478
24,4.426529,0.3307,0.6054,0.00024755
25,4.409005,0.3362,0.614,0.00024729
26,4.358426,0.3456,0.6165,0.00024701
27,4.362755,0.3516,0.6255,0.00024672
28,4.334217,0.3573,0.6285,0.00024642
29,4.348683,0.3594,0.6387,0.0002461
30,4.356863,0.3736,0.6481,0.00024577
31,4.313009,0.3759,0.6487,0.00024543
32,4.287615,0.3701,0.6454,0.00024507
33,4.270527,0.3855,0.6572,0.0002447
34,4.241406,0.3895,0.6643,0.00024432
35,4.239856,0.39,0.6593,0.00024393
36,4.253897,0.3982,0.6694,0.00024352
37,4.23472,0.4001,0.6741,0.0002431
38,4.20465,0.3998,0.6735,0.00024267
39,4.185353,0.4198,0.686,0.00024222
40,4.176817,0.4071,0.6801,0.00024176
41,4.183591,0.4206,0.6884,0.00024129
42,4.178492,0.4256,0.6916,0.0002408
43,4.157337,0.4239,0.6944,0.00024031
44,4.136395,0.4245,0.6864,0.0002398
45,4.103597,0.4341,0.699,0.00023928
46,4.135468,0.4248,0.699,0.00023874
47,4.137866,0.4365,0.7012,0.0002382
48,4.103721,0.4365,0.7121,0.00023764
49,4.104068,0.442,0.7084,0.00023707
50,4.080684,0.4402,0.7111,0.00023648
51,4.122749,0.4467,0.7131,0.00023589
52,4.072944,0.4483,0.718,0.00023528
53,4.080111,0.4544,0.7178,0.00023466
54,4.079883,0.452,0.7162,0.00023403
55,4.087398,0.4502,0.7215,0.00023339
56,4.035099,0.4572,0.7234,0.00023273
57,4.038146,0.4702,0.7316,0.00023207
58,3.992348,0.4737,0.7312,0.00023139
59,4.071985,0.4697,0.7278,0.0002307
60,3.974409,0.4764,0.7365,0.00023
61,4.015045,0.4749,0.7378,0.00022929
62,4.016406,0.4762,0.7379,0.00022856
63,3.977214,0.4782,0.7365,0.00022783
64,3.980965,0.479,0.7406,0.00022708
65,4.004778,0.4839,0.7401,0.00022633
66,3.957292,0.4863,0.7453,0.00022556
67,3.96142,0.4855,0.7453,0.00022478
68,3.950207,0.4909,0.7466,0.00022399
69,3.923901,0.4943,0.753,0.00022319
70,3.942981,0.4977,0.7533,0.00022238
71,3.952271,0.4929,0.7495,0.00022156
72,3.888379,0.5017,0.7546,0.00022073
73,3.925024,0.5035,0.7514,0.00021989
74,3.962711,0.4977,0.7537,0.00021903
75,3.926308,0.5026,0.756,0.00021817
76,3.889175,0.4993,0.7562,0.0002173
77,3.929717,0.5032,0.7573,0.00021642
78,3.839221,0.5057,0.7611,0.00021553
79,3.882295,0.5052,0.7614,0.00021463
80,3.914664,0.5085,0.7612,0.00021372
81,3.881935,0.5116,0.7583,0.0002128
82,3.831954,0.507,0.764,0.00021187
83,3.842274,0.509,0.7638,0.00021093
84,3.863601,0.5124,0.7682,0.00020998
85,3.85817,0.513,0.7671,0.00020902
86,3.843735,0.5109,0.7689,0.00020806
87,3.84591,0.5206,0.7714,0.00020708
88,3.83263,0.5168,0.7719,0.0002061
89,3.880496,0.5209,0.7754,0.0002051
90,3.793656,0.5151,0.772,0.0002041
91,3.820258,0.5228,0.7732,0.00020309
92,3.770707,0.5214,0.7729,0.00020208
93,3.802058,0.5196,0.7741,0.00020105
94,3.806317,0.5251,0.7703,0.00020002
95,3.757377,0.5278,0.7785,0.00019897
96,3.754096,0.5297,0.7752,0.00019792
97,3.736285,0.5318,0.7821,0.00019687
98,3.738908,0.5269,0.7735,0.0001958
99,3.808567,0.5197,0.77,0.00019473
100,3.774952,0.5315,0.7825,0.00019365
101,3.724969,0.5302,0.7812,0.00019256
102,3.757054,0.5287,0.7757,0.00019147
103,3.69495,0.5363,0.7849,0.00019037
104,3.739567,0.5311,0.7828,0.00018926
105,3.665921,0.5298,0.7792,0.00018815
106,3.727576,0.536,0.7852,0.00018702
