epoch,train_loss,val_top1,val_top5,lr
0,5.303877,0.0189,0.0789,4.167e-05
1,5.222133,0.0474,0.1575,8.333e-05
2,5.142533,0.0681,0.2108,0.000125
3,5.063832,0.0883,0.2614,0.00016667
4,5.002311,0.1111,0.3144,0.00020833
5,4.952881,0.1334,0.3477,0.00025
6,4.878648,0.1515,0.3759,0.00024999
7,4.831129,0.1754,0.406,0.00024997
8,4.793498,0.1915,0.4374,0.00024994
9,4.757664,0.2113,0.4619,0.00024989
10,4.710313,0.2162,0.4678,0.00024983
11,4.676054,0.2361,0.4891,0.00024976
12,4.670965,0.242,0.5038,0.00024967
13,4.630987,0.2647,0.5243,0.00024956
14,4.617365,0.2689,0.5333,0.00024945
15,4.57369,0.272,0.5396,0.00024932
16,4.588842,0.288,0.5525,0.00024918
17,4.54172,0.2902,0.5625,0.00024902
18,4.511201,0.3073,0.5769,0.00024885
19,4.485472,0.3132,0.5847,0.00024867
20,4.480703,0.3229,0.5936,0.00024847
21,4.462265,0.325,0.6003,0.00024826
22,4.462613,0.32,0.5869,0.00024804
23,4.38553,0.3352,0.611,0.0002478
24,4.409732,0.3396,0.6193,0.00024755
25,4.398308,0.3496,0.6285,0.00024729
26,4.339032,0.349,0.6271,0.00024701
27,4.35477,0.3607,0.6386,0.00024672
28,4.328652,0.3721,0.6405,0.00024642
29,4.333717,0.368,0.6467,0.0002461
30,4.346412,0.3742,0.6501,0.00024577
31,4.306627,0.3759,0.6543,0.00024543
32,4.272139,0.3827,0.6599,0.00024507
33,4.256847,0.395,0.6653,0.0002447
34,4.231751,0.3934,0.6653,0.00024432
35,4.226783,0.3933,0.6652,0.00024393
36,4.249003,0.3986,0.6712,0.00024352
37,4.227181,0.4025,0.6747,0.0002431
38,4.199195,0.4079,0.6794,0.00024267
39,4.174287,0.4203,0.6889,0.00024222
40,4.167651,0.4133,0.6911,0.00024176
41,4.172955,0.424,0.6954,0.00024129
42,4.168604,0.4257,0.6972,0.0002408
43,4.155044,0.4291,0.703,0.00024031
44,4.135173,0.4248,0.6984,0.0002398
45,4.086812,0.4332,0.7102,0.00023928
46,4.119851,0.4262,0.6987,0.00023874
47,4.132002,0.4419,0.7109,0.0002382
48,4.096545,0.4418,0.7149,0.00023764
49,4.090409,0.4498,0.7148,0.00023707
50,4.063728,0.4517,0.7187,0.00023648
51,4.110782,0.4529,0.722,0.00023589
52,4.059276,0.45,0.7187,0.00023528
53,4.062167,0.4549,0.7222,0.00023466
54,4.072614,0.4543,0.7258,0.00023403
55,4.078524,0.4607,0.7232,0.00023339
56,4.020184,0.46,0.7299,0.00023273
57,4.028086,0.4707,0.736,0.00023207
58,3.977226,0.475,0.7397,0.00023139
59,4.051251,0.4747,0.7341,0.0002307
60,3.95414,0.4826,0.7441,0.00023
61,4.001355,0.4803,0.7434,0.00022929
62,3.993925,0.4771,0.7387,0.00022856
63,3.954215,0.4804,0.7369,0.00022783
64,3.963151,0.4892,0.7482,0.00022708
65,3.991184,0.4834,0.7422,0.00022633
66,3.93084,0.4897,0.7486,0.00022556
67,3.946783,0.4979,0.7493,0.00022478
68,3.933225,0.4988,0.7492,0.00022399
69,3.903124,0.5031,0.7572,0.00022319
70,3.921219,0.4988,0.7569,0.00022238
71,3.92711,0.4996,0.7564,0.00022156
72,3.868768,0.504,0.7603,0.00022073
73,3.907832,0.5054,0.7599,0.00021989
74,3.938975,0.4963,0.7582,0.00021903
75,3.905307,0.5042,0.7595,0.00021817
76,3.864994,0.5102,0.7625,0.0002173
77,3.908807,0.5017,0.7567,0.00021642
78,3.816965,0.5041,0.7633,0.00021553
79,3.851556,0.51,0.7656,0.00021463
80,3.887451,0.5103,0.7625,0.00021372
81,3.862279,0.5117,0.7659,0.0002128
82,3.803826,0.5175,0.7683,0.00021187
83,3.818626,0.5179,0.7693,0.00021093
84,3.841842,0.5227,0.7729,0.00020998
85,3.829912,0.5193,0.7699,0.00020902
86,3.813966,0.5259,0.7714,0.00020806
87,3.81912,0.5261,0.7759,0.00020708
88,3.805387,0.5226,0.7695,0.0002061
89,3.854988,0.5298,0.7772,0.0002051
90,3.769067,0.5316,0.7747,0.0002041
91,3.790858,0.5348,0.7774,0.00020309
92,3.741467,0.5308,0.7755,0.00020208
93,3.773693,0.5262,0.7795,0.00020105
94,3.776736,0.5276,0.7802,0.00020002
95,3.733799,0.5261,0.7741,0.00019897
96,3.718794,0.5336,0.7809,0.00019792
97,3.709409,0.5438,0.7831,0.00019687
98,3.707622,0.5246,0.7778,0.0001958
99,3.785608,0.5363,0.7793,0.00019473
100,3.746641,0.5348,0.7784,0.00019365
101,3.689603,0.5357,0.7808,0.00019256
102,3.73128,0.5386,0.7869,0.00019147
103,3.666481,0.5444,0.7895,0.00019037
104,3.710967,0.5449,0.7872,0.00018926
105,3.62893,0.5415,0.7889,0.00018815
106,3.694084,0.5456,0.7881,0.00018702
107,3.685085,0.5489,0.7906,0.0001859
108,3.657488,0.5401,0.7867,0.00018476
109,3.678115,0.5505,0.792,0.00018362
110,3.697761,0.5408,0.7857,0.00018248
111,3.605489,0.5461,0.7866,0.00018132
112,3.640635,0.5498,0.7922,0.00018017
113,3.64652,0.5562,0.7947,0.000179
114,3.703034,0.5541,0.7902,0.00017783
115,3.618471,0.554,0.7936,0.00017666
116,3.622816,0.5537,0.7902,0.00017548
117,3.590989,0.5608,0.7985,0.00017429
118,3.596034,0.5584,0.7943,0.0001731
119,3.62044,0.5545,0.7953,0.00017191
120,3.636293,0.5552,0.7968,0.00017071
121,3.599745,0.5577,0.7988,0.0001695
122,3.633296,0.5563,0.7988,0.0001683
123,3.575513,0.5587,0.7964,0.00016708
124,3.622753,0.5653,0.7955,0.00016586
125,3.606188,0.5609,0.798,0.00016464
126,3.572592,0.5561,0.7958,0.00016342
127,3.558864,0.5609,0.7957,0.00016219
128,3.525186,0.5571,0.7945,0.00016096
129,3.581185,0.5637,0.8007,0.00015972
130,3.554703,0.5544,0.7908,0.00015848
131,3.571471,0.5667,0.8029,0.00015724
132,3.532232,0.5649,0.8013,0.00015599
133,3.579505,0.5681,0.8034,0.00015474
134,3.542914,0.5707,0.8034,0.00015349
135,3.544261,0.5704,0.8059,0.00015223
136,3.516341,0.57,0.8065,0.00015098
137,3.456942,0.5665,0.8065,0.00014972
138,3.528138,0.5713,0.8051,0.00014846
139,3.551375,0.5704,0.8041,0.00014719
140,3.573721,0.5695,0.8041,0.00014593
141,3.507354,0.5728,0.8012,0.00014466
142,3.536224,0.5759,0.804,0.00014339
143,3.514446,0.5768,0.8083,0.00014212
144,3.538343,0.5705,0.8052,0.00014085
145,3.472763,0.5783,0.8095,0.00013957
146,3.523546,0.5673,0.8022,0.0001383
147,3.514075,0.5753,0.8095,0.00013702
