cell,model,seed,epochs_done,top1,top5,params,hours,status,error
a_deit_ti,a_deit_ti,1,300,0.5362,0.7676,6851936,4.241,ok,
b_vim_ti,b_vim_ti,1,300,0.5286,0.7593,6857672,15.283,ok,
c_cmt_ti,c_cmt_ti,1,300,0.6074,0.8198,7061594,4.606,ok,
d_hvim,d_hvim,1,300,0.6069,0.819,6993856,7.982,ok,
a_deit_ti,a_deit_ti,2,300,0.545,0.7681,6851936,4.386,ok,
b_vim_ti,b_vim_ti,2,300,0.5332,0.7589,6857672,15.227,ok,
c_cmt_ti,c_cmt_ti,2,300,0.5998,0.82,7061594,4.643,ok,
d_hvim,d_hvim,2,300,0.6029,0.8188,6993856,7.937,ok,
a_deit_ti,a_deit_ti,3,300,0.544,0.7714,6851936,4.292,ok,
b_vim_ti,b_vim_ti,3,300,0.5152,0.743,6857672,15.226,ok,
c_cmt_ti,c_cmt_ti,3,300,0.5984,0.8178,7061594,4.539,ok,
d_hvim,d_hvim,3,300,0.6033,0.822,6993856,7.953,ok,
